Size,Classic,Winograd,WinogradOpt,Strassen
2,1649.02,1845.06,1840.14,1662.4
4,2812.87,3022.84,3020.8,35605.7
8,10470.1,10241.6,10402.6,286041
16,68186.4,61741.1,62113.9,2.07164e+06
32,519766,452393,449975,1.46746e+07
64,4.12247e+06,3.51091e+06,3.47318e+06,1.02997e+08
