Size,Classic,Winograd,WinogradOpt
10,21275.5,20508.5,20709.2
20,131828,116818,117319
30,433920,377044,374514
40,1.01388e+06,875722,863437
50,1.96591e+06,1.68611e+06,1.66676e+06
60,3.40326e+06,2.91629e+06,2.86394e+06
70,5.39724e+06,4.61424e+06,4.52668e+06
80,8.04443e+06,6.8623e+06,6.78974e+06
90,1.14505e+07,9.59702e+06,9.58789e+06
100,1.60114e+07,1.3202e+07,1.31889e+07
110,2.12811e+07,1.76149e+07,1.75409e+07
