Size,Classic,Winograd,WinogradOpt,Strassen
2,1680.83,1891.42,1881.94,1666.15
4,2809.8,3024.78,3045.32,35887.4
8,10488.6,10623.4,10390.9,285096
16,68323.6,61531.5,62016.2,2.07405e+06
32,532926,455968,453052,1.46413e+07
64,4.16321e+06,3.53448e+06,3.47589e+06,1.03116e+08
128,3.30389e+07,2.77174e+07,2.75914e+07,7.26881e+08
