Size,Classic,Winograd,WinogradOpt
1,1426.72,1609.77,1598.96
11,23406.7,22849.3,23119.9
21,149387,134119,133960
31,476667,419519,415179
41,1.08543e+06,939995,932503
51,2.08117e+06,1.79481e+06,1.76172e+06
61,3.53043e+06,3.04063e+06,3.02386e+06
71,5.63446e+06,4.78711e+06,4.71426e+06
81,8.34556e+06,7.10384e+06,7.01436e+06
91,1.17901e+07,1.00406e+07,9.89669e+06
101,1.60904e+07,1.36633e+07,1.34456e+07
