size,full,ants
2,0.000014,0.006581
3,0.000019,0.008429
4,0.000058,0.020398
5,0.000170,0.041318
6,0.001066,0.075045
7,0.007585,0.121320
8,0.075833,0.189757
9,0.785701,0.297062
10,9.015445,0.448497
