size,lev,dam-lev,dam-lev-rec,dam-lev-rec-cash
1,40,40,72,76
101,40840,40840,7272,48076
201,161640,161640,14472,176076
301,362440,362440,21672,384076
401,643240,643240,28872,672076
501,1004040,1004040,36072,1040076
601,1444840,1444840,43272,1488076
701,1965640,1965640,50472,2016076
801,2566440,2566440,57672,2624076
901,3247240,3247240,64872,3312076
