len,LevMtr,DLMtr,DLRec,DLRecHash
1,1.56e-06,1.56e-06,1.56e-06,3.13e-06
2,3.13e-06,3.13e-06,6.25e-06,6.25e-06
3,6.25e-06,6.25e-06,2.97e-05,1.09e-05
4,9.37e-06,9.37e-06,1.56e-04,1.72e-05
5,1.25e-05,1.25e-05,8.59e-04,2.66e-05
6,1.56e-05,1.72e-05,4.53e-03,3.44e-05
7,2.03e-05,2.50e-05,2.42e-02,4.53e-05
8,2.66e-05,2.97e-05,1.33e-01,5.78e-05
9,2.97e-05,3.91e-05,7.31e-01,7.19e-05
10,3.75e-05,4.53e-05,4.04e+00,8.59e-05
11,4.37e-05,5.47e-05,2.22e+01,1.02e-04
